"_id","name","link","author","publisher","year"
"5c6d5a58a620d53f7c672db9","Thoughtful Machine Learning with Python","http://shop.oreilly.com/product/0636920039082.do","Matthew Kirk","O'Reilly Media","2017"
"5c6d5a58a620d53f7c672e21","Monitoring with Graphite","http://shop.oreilly.com/product/0636920035794.do","Jason Dixon","O'Reilly Media","2017"
"5c6d5a58a620d53f7c672e40","Augmented Human","http://shop.oreilly.com/product/0636920041313.do","Helen Papagiannis","O'Reilly Media","2017"
"5c6d5a59a620d53f7c672ead","The Art of Capacity Planning","http://shop.oreilly.com/product/0636920045205.do","Arun Kejariwal, John Allspaw","O'Reilly Media","2017"
"5c6d5a59a620d53f7c672eb8","SVG Animations","http://shop.oreilly.com/product/0636920045335.do","Sarah Drasner","O'Reilly Media","2017"
"5c6d5a59a620d53f7c672eb9","Learning Spark Streaming","http://shop.oreilly.com/product/0636920047568.do","Francois Garillot","O'Reilly Media","2017"
"5c6d5a59a620d53f7c672ed0","Mobile App Development with Ionic 2","http://shop.oreilly.com/product/0636920044710.do","Chris Griffith","O'Reilly Media","2017"
"5c6d5a59a620d53f7c672ee5","Java Pocket Guide","http://shop.oreilly.com/product/0636920045007.do","Robert Liguori, Patricia Liguori","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f0d","Mastering Azure Analytics","http://shop.oreilly.com/product/0636920050568.do","Zoiner Tejada","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f4c","Robust Shell Scripting","http://shop.oreilly.com/product/0636920052357.do","Arnold Robbins","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f52","Learning Swift","http://shop.oreilly.com/product/0636920053989.do","Paris Buttfield-Addison, Jon Manning, Tim Nugent","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f5e","Creating Prototypes to Test Product Market Fit","http://shop.oreilly.com/product/0636920054023.do","Jaime Levy","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f60","Conducting Methodical Guerrilla User Research","http://shop.oreilly.com/product/0636920054030.do","Jaime Levy","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f62","Hadoop in the Enterprise: Architecture","http://shop.oreilly.com/product/0636920054825.do","Jan Kunigk, Lars George, Paul Wilkinson, Ian Buss","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f63","Designing for Conversion","http://shop.oreilly.com/product/0636920054047.do","Jaime Levy","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f69","Arduino Outputs","http://shop.oreilly.com/product/0636920052661.do","Marc de Vinck","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f6c","Arduino Prototyping Techniques","http://shop.oreilly.com/product/0636920052678.do","Marc de Vinck","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f70","Becoming a Data-Driven Business","http://shop.oreilly.com/product/0636920077824.do","John Akred, Edd Wilder-James, Scott Kurth","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f71","Web Scraping with Python","http://shop.oreilly.com/product/0636920078067.do","Ryan Mitchell","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f72","Introduction to Amazon Alexa Skill Development","http://shop.oreilly.com/product/0636920078098.do","Terren Peterson","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f73","Introducing Kudu and Kudu Architecture","http://shop.oreilly.com/product/0636920078449.do","Ryan Bosshart","O'Reilly Media","2017"
"5c6d5a5aa620d53f7c672f74","Basic Kudu Installation, API Usage, and SQL Integration","http://shop.oreilly.com/product/0636920078456.do","Ryan Bosshart","O'Reilly Media","2017"
