,title,link,pub,rating,comments
37,程序员的自我修养,https://book.douban.com/subject/3652388/,俞甲子、石凡、潘爱民 / 电子工业出版社 / 2009-4 / 65.00,8.8,2355
38,计算机程序的构造和解释,https://book.douban.com/subject/1148282/,Harold Abelson、Gerald Jay Sussman、Julie Sussman / 裘宗燕 / 机械工业出版社 / 2004-2 / 45.00元,9.5,2338
39,JavaScript高级程序设计（第3版）,https://book.douban.com/subject/10546125/,[美] Nicholas C. Zakas / 李松峰、曹力 / 人民邮电出版社 / 2012-3-29 / 99.00元,9.3,2333
40,软件随想录,https://book.douban.com/subject/4163938/,Joel Spolsky / 阮一峰 / 人民邮电出版社 / 2009 / 49.00元,8.7,2313
41,淘宝技术这十年,https://book.douban.com/subject/24335672/,子柳 / 电子工业出版社 / 2013-5 / 45.00元,7.3,2298
42,程序员修炼之道,https://book.douban.com/subject/1152111/,Andrew Hunt、David Thomas / 马维达 / 电子工业出版社 / 2005-1 / 48.00元,8.6,2287
43,UNIX环境高级编程,https://book.douban.com/subject/1788421/,W.Richard Stevens、Stephen A.Rago / 尤晋元、张亚英、戚正伟 / 人民邮电出版社 / 2006年 / 99.00元,9.4,2269
44,科技想要什么,https://book.douban.com/subject/6965746/,[美] 凯文·凯利 / 熊祥 / 中信出版社 / 2011-11 / 58.00元,8.2,2228
45,系统之美,https://book.douban.com/subject/11528220/,[美] 德内拉•梅多斯 / 邱昭良 / 浙江人民出版社 / 2012-8 / 56.90元,8.3,2171
46,复杂,https://book.douban.com/subject/6749832/,梅拉妮·米歇尔 / 唐璐 / 湖南科学技术出版社 / 2011-8-1 / 38.00元,9.0,2160
47,人工智能,https://book.douban.com/subject/27015112/,李开复、王咏刚 / 文化发展出版社 / 2017-5-10 / CNY 55.00,7.3,2156
48,UNIX编程艺术,https://book.douban.com/subject/1467587/,Eric S. Raymond / 姜宏、何源、蔡晓俊 / 电子工业出版社 / 2006-2 / 59.00元,9.0,2123
49,TCP/IP详解 卷1：协议,https://book.douban.com/subject/1088054/,W.Richard Stevens / 范建华 / 机械工业出版社 / 2000-4-1 / 45.00元,9.2,2100
50,统计学习方法,https://book.douban.com/subject/10590856/,李航 / 清华大学出版社 / 2012-3 / 38.00元,9.0,2095
51,编程珠玑,https://book.douban.com/subject/3227098/,Jon Bentley / 黄倩、钱丽艳 / 人民邮电出版社 / 2008-10 / 39.00元,9.1,2073
52,重构,https://book.douban.com/subject/1229923/,Martin Fowler / 熊节 / 中国电力出版社 / 2003-8-1 / 68.00元,9.0,2069
53,硅谷之谜,https://book.douban.com/subject/26665230/,吴军 / 人民邮电出版社 / 2015-12-1 / 59.00,8.4,2048
54,大话设计模式,https://book.douban.com/subject/2334288/,程杰 / 清华大学出版社 / 2007-12-1 / 45.00元,8.3,1976
55,C专家编程,https://book.douban.com/subject/2377310/,Peter Van Der Linden / 徐波 / 人民邮电出版社 / 2008-2 / 45.00元,9.2,1953
56,我是一只IT小小鸟,https://book.douban.com/subject/4006425/,胡江堂、李成、唐雅薇、秦琴、蒋宇东、刘未鹏、居振梁、刘帅、温卫斌、张弦、张凯峰、庄表伟、宋劲杉、程露、黄小明、易晓东、简朝阳、林健、高昂、徐宥、辜新星 / 电子工业出版社 / 2009-9 / 29.80元,7.8,1920
57,数据结构与算法分析,https://book.douban.com/subject/1139426/,维斯 / 冯舜玺 / 机械工业出版社 / 2004-1-1 / 35.00元,8.9,1906
58,疯狂的程序员,https://book.douban.com/subject/3267945/,绝影 / 人民邮电出版社 / 2008 / 35.00元,7.8,1878
59,程序员的思维修炼,https://book.douban.com/subject/5372651/,Andy Hunt / 崔康 / 人民邮电出版社 / 2010-12-10 / 39.00元,8.4,1867
60,JavaScript语言精粹,https://book.douban.com/subject/3590768/,Douglas Crockford / 赵泽欣、鄢学鹍 / 电子工业出版社 / 2009-4 / 35.00元,9.1,1845
61,重构,https://book.douban.com/subject/4262627/,Martin Fowler / 熊节 / 人民邮电出版社 / 2010 / 69.00元,9.0,1845
62,C Primer Plus,https://book.douban.com/subject/1240002/,Stephen Prata、云巅工作室 / 云巅工作室 / 人民邮电出版社 / 2005-2-1 / 60.00元,9.1,1842
63,推荐系统实践,https://book.douban.com/subject/10769749/,项亮 / 人民邮电出版社 / 2012-6-1 / 49.00元,8.1,1816
64,思考的乐趣,https://book.douban.com/subject/10779597/,顾森 / 人民邮电出版社 / 2012-6 / 45.00元,8.2,1793
65,Python基础教程（第2版）,https://book.douban.com/subject/4866934/,Magnus Lie Hetland / 司维、曾军崴、谭颖华 / 人民邮电出版社 / 2010-7 / 69.00元,8.0,1785
66,深入浅出数据分析,https://book.douban.com/subject/5257905/,Michael Milton / 李芳 / 电子工业出版社 / 2009 / 88.00元,7.5,1769
67,C++ Primer 中文版（第 5 版）,https://book.douban.com/subject/25708312/,[美] Stanley B. Lippman、[美] Josée Lajoie、[美] Barbara E. Moo / 王刚、杨巨峰 / 电子工业出版社 / 2013-9-1 / CNY 128.00,9.4,1704
68,你早该这么玩Excel,https://book.douban.com/subject/6712457/,伍昊 / 北京大学出版社 / 2011-7-15 / 39.80元,8.2,1704
69,算法图解,https://book.douban.com/subject/26979890/,[美] Aditya Bhargava / 袁国忠 / 人民邮电出版社 / 2017-3 / 49.00元,8.4,1701
70,代码整洁之道,https://book.douban.com/subject/4199741/,[美]Robert C. Martin / 韩磊 / 人民邮电出版社 / 2010-1-1 / 59.00元,8.6,1675
71,深入理解Java虚拟机（第2版）,https://book.douban.com/subject/24722612/,周志明 / 机械工业出版社 / 2013-9-1 / 79.00元,9.0,1670
72,MacTalk 人生元编程,https://book.douban.com/subject/25826578/,池建强 / 人民邮电出版社 / 2014-2-1 / 45,7.0,1668
73,Effective java 中文版（第2版）,https://book.douban.com/subject/3360807/,Joshua Bloch / 俞黎敏 / 机械工业出版社 / 2009-1-1 / 52.00元,9.1,1651
74,奇点临近,https://book.douban.com/subject/6855803/,Ray Kurzweil / 董振华、李庆成 / 机械工业出版社 / 2011-10 / 69.00元,7.6,1634
75,大型网站技术架构,https://book.douban.com/subject/25723064/,李智慧 / 电子工业出版社 / 2013-9-1 / 59.00元,7.9,1618
76,JavaScript DOM编程艺术 （第2版）,https://book.douban.com/subject/6038371/,[英] Jeremy Keith、[加] Jeffrey Sambells / 杨涛、王建桥、杨晓云 等 / 人民邮电出版社 / 2011-4 / 49.00元,8.7,1605
77,Excel图表之道,https://book.douban.com/subject/4326057/,刘万祥 / 电子工业出版社 / 2010-4 / 59.00元,8.8,1603
78,认知与设计,https://book.douban.com/subject/6792322/,Jeff Johnson / 张一宁 / 人民邮电出版社 / 2011-9-1 / 59.00元,8.7,1536
79,艾伦·图灵传,https://book.douban.com/subject/10522003/,[英] 安德鲁·霍奇斯 / 孙天齐 / 湖南科学技术出版社 / 2012-3-31 / 59.00元,8.3,1536
80,HTTP权威指南,https://book.douban.com/subject/10746113/,David Gourley、Brian Totty / 陈涓、赵振平 / 人民邮电出版社 / 2012-9 / 109.00元,8.6,1511
81,The Ph.D. Grind,https://book.douban.com/subject/11505704/,Philip J. Guo / Clearway Logistics Phase 1a / 2012-7-1 / GBP 9.99,9.1,1505
82,皇帝新脑,https://book.douban.com/subject/1206206/,罗杰・彭罗斯、Roger Penrose / 许明贤、吴忠超 / 湖南科学技术出版社 / 2007-6-1 / 38.00元,8.1,1503
83,集体智慧编程,https://book.douban.com/subject/3288908/,TOBY SEGARAN / 莫映、王开福 / 电子工业出版社 / 2009-1 / 59.80元,9.0,1477
84,DOOM启世录,https://book.douban.com/subject/1152971/,[美] 大卫·卡什诺 / 孙振南 / 电子工业出版社 / 2004-4 / 29.00元,9.1,1446
85,C和指针,https://book.douban.com/subject/3012360/,Kenneth A.Reek / 徐波 / 人民邮电出版社 / 2008 年4月 / 65.00元,9.0,1445
86,深度探索C++对象模型,https://book.douban.com/subject/1091086/,[美] Stanley B. Lippman / 侯捷 / 华中科技大学出版社 / 2001-5 / 54.00元,9.1,1443
87,浪潮之巅（第三版）（上下册）,https://book.douban.com/subject/26792439/,吴军 / 人民邮电出版社 / 2016-5 / 99.00元,9.2,1417
88,敏捷软件开发,https://book.douban.com/subject/1140457/,Robert C. Martin / 邓辉 / 清华大学出版社 / 2003-09-01 / 59.00元,9.0,1409
89,SQL必知必会,https://book.douban.com/subject/24250054/,福达 (Ben Forta) / 钟鸣、刘晓霞 / 人民邮电出版社 / 2013-5-1 / 29.00元,8.5,1398
90,结网@改变世界的互联网产品经理,https://book.douban.com/subject/24305938/,王坚 / 人民邮电出版社 / 2013-5-1 / 69.00元,8.0,1381
91,编码的奥秘,https://book.douban.com/subject/1024570/,Charles Petzold / 伍卫国/王宣政/孙燕妮 等 / 机械工业出版社 / 2000-9-1 / 24.00,9.3,1377
92,Effective C++中文版,https://book.douban.com/subject/1231590/,[美] Scott Meyers / 侯捷 / 华中科技大学出版社 / 2001-9 / 49.80元,9.1,1354
93,C陷阱与缺陷,https://book.douban.com/subject/2778632/,凯尼格 / 高巍 / 人民邮电出版社 / 2008-2-1 / 30.00元,8.9,1353
94,谁说菜鸟不会数据分析,https://book.douban.com/subject/6434328/,张文霖、刘夏璐、狄松 编著 / 电子工业出版社 / 2011-7 / 59.00元,7.4,1349
95,人月神话,https://book.douban.com/subject/2230248/,弗雷德里克.布鲁克斯 / UMLChina翻译组、汪颖 / 清华大学出版社 / 2007-9 / 48.00元,8.6,1344
96,STL源码剖析,https://book.douban.com/subject/1110934/,侯捷 / 华中科技大学出版社 / 2002-6 / 68.00元,8.7,1327
97,Pattern Recognition and Machine Learning,https://book.douban.com/subject/2061116/,Christopher Bishop / Springer / 2007-10-1 / USD 94.95,9.5,1323
98,数据结构,https://book.douban.com/subject/2024655/,严蔚敏、吴伟民 / 清华大学出版社 / 2007-3-1 / 30.0,7.0,1318
99,MySQL必知必会,https://book.douban.com/subject/3354490/,[英] Ben Forta / 刘晓霞、钟鸣 / 人民邮电出版社 / 2009-1 / 39.00元,8.4,1311
100,逻辑的引擎,https://book.douban.com/subject/1391740/,[美] 马丁·戴维斯 / 张卜天 / 湖南科学技术出版社 / 2005-5 / 20.00元,8.5,1306
101,构建高性能Web站点,https://book.douban.com/subject/3924175/,郭欣 / 电子工业出版社 / 2009-8 / 59.00元,8.6,1298
102,The  C Programming Language,https://book.douban.com/subject/1236999/,Brian W. Kernighan、Dennis M. Ritchie / Prentice Hall / 1988-4-1 / USD 67.00,9.6,1297
103,写给大家看的设计书（第4版）,https://book.douban.com/subject/26664522/,Robin Williams / 苏金国、李盼 / 人民邮电出版社 / 2016-1 / 59.00元,8.7,1293
104,大话数据结构,https://book.douban.com/subject/6424904/,程杰 / 清华大学出版社 / 2011-6 / 59.00元,7.9,1286
105,利用Python进行数据分析,https://book.douban.com/subject/25779298/,Wes McKinney / 唐学韬 / 机械工业出版社 / 2013-11-18 / 89.00,8.6,1272
106,Head First Java（第二版·中文版）,https://book.douban.com/subject/2000732/,"Kathy Sierra,Bert Bates 著、杨尊一 编译 张然等 改编 / 杨尊一 / 中国电力出版社 / 2007-2 / 79.00元",8.7,1235
107,汇编语言（第2版）,https://book.douban.com/subject/3037562/,王爽 / 清华大学出版社 / 2008-4 / 33.00元,9.3,1229
108,Java并发编程实战,https://book.douban.com/subject/10484692/,Brian Goetz、Tim Peierls、Joshua Bloch、Joseph Bowbeer、David Holmes、Doug Lea / 童云兰 / 机械工业出版社华章公司 / 2012-2 / 69.00元,9.0,1226
109,算法（第4版）,https://book.douban.com/subject/19952400/,塞奇威克 (Robert Sedgewick)、韦恩 (Kevin Wayne) / 谢路云 / 人民邮电出版社 / 2012-10-1 / 99.00元,9.4,1212
110,软技能,https://book.douban.com/subject/26835090/,John Sonmez / 王小刚 / 人民邮电出版社 / 2016-7 / 59.00元,7.9,1203
111,A Byte of Python,https://book.douban.com/subject/5948760/,Swaroop C H / Lulu Marketplace / 2008-10-1 / USD 27.98,8.7,1189
112,Effective C++,https://book.douban.com/subject/1842426/,[美]Scott Meyers / 侯捷 / 电子工业出版社 / 2006-7 / 58.00元,9.5,1157
113,机器学习实战,https://book.douban.com/subject/24703171/,Peter Harrington / 李锐、李鹏、曲亚东、王斌 / 人民邮电出版社 / 2013-6 / 69.00元,8.1,1146
114,人件,https://book.douban.com/subject/1108725/,Tom DeMarco、Timothy Lister / UML China / 清华大学出版社 / 2003-6 / 35.00元,8.2,1142
115,高效程序员的45个习惯,https://book.douban.com/subject/4164024/,Venkat Subramaniam、Andy Hunt / 钱安川、郑柯 / 人民邮电出版社 / 2010-01 / 35.00元,8.2,1133
116,Pro Git,https://book.douban.com/subject/3420144/,Scott Chacon / Apress / 2009-8-27 / USD 34.99,9.1,1110
117,精通正则表达式,https://book.douban.com/subject/2154713/,Jeffrey E. F. Friedl / 余晟 / 电子工业出版社 / 2007 / 75,8.9,1070
118,程序员的数学,https://book.douban.com/subject/19949020/,结城浩 / 管杰 / 人民邮电出版社 / 2012-10 / 49.00元,7.3,1066
119,计算广告,https://book.douban.com/subject/26596778/,刘鹏、王超 / 人民邮电出版社 / 2015-9-1 / 69.00元,8.6,1058
120,程序员修炼之道,https://book.douban.com/subject/5387402/,Andrew Hunt、David Thomas / 马维达 / 电子工业出版社 / 2011-1 / 55.00元,8.8,1045
121,深入理解计算机系统（原书第3版）,https://book.douban.com/subject/26912767/,Randal E.Bryant、David O'Hallaron / 龚奕利、贺莲 / 机械工业出版社 / 2016-11 / 139.00元,9.8,1010
122,算法导论（原书第3版）,https://book.douban.com/subject/20432061/,Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein / 殷建平、徐云、王刚、刘晓光、苏明、邹恒明、王宏志 / 机械工业出版社 / 2012-12 / 128.00元,9.2,999
123,什么是数学,https://book.douban.com/subject/10455982/,R•柯朗、H•罗宾、I·斯图尔特 / 左平、张饴慈 / 复旦大学出版社 / 2012-1-1 / 43.00元,9.3,989
124,高性能网站建设指南,https://book.douban.com/subject/3132277/,Steve Souders / 刘彦博 / 电子工业出版社 / 2008年 / 35.00元,8.5,980
125,网络是怎样连接的,https://book.douban.com/subject/26941639/,[日]户根勤 / 周自恒 / 人民邮电出版社 / 2017-1-1 / CNY 49.00,9.1,979
126,深入浅出Node.js,https://book.douban.com/subject/25768396/,朴灵 / 人民邮电出版社 / 2013-12-1 / 69.00元,8.6,977
127,Permanent Record,https://book.douban.com/subject/34841756/,Edward Snowden / Macmillan / 2019-9-14 / USD 27.00,8.8,974
128,白帽子讲Web安全,https://book.douban.com/subject/10546925/,吴翰清 / 电子工业出版社 / 2012-3 / 69.00元,8.2,968
129,UNIX网络编程,https://book.douban.com/subject/1500149/,史蒂文斯、芬纳、鲁道夫 / 杨继张 / 清华大学出版社 / 2006-1 / 98.00元,9.5,957
130,Redis设计与实现,https://book.douban.com/subject/25900156/,黄健宏 / 机械工业出版社 / 2014-6 / 79.00,8.5,942
131,线性代数及其应用,https://book.douban.com/subject/1425950/,（美）莱（Lay D.C.）、none、none / 刘深泉 等 / 机械工业出版社 / 2005-8-1 / 59.00元,9.2,925
132,鸟哥的Linux私房菜 基础学习篇(第二版),https://book.douban.com/subject/2208530/,鸟哥 / 人民邮电出版社 / 2007-9 / 65.00元,8.9,920
133,深度学习,https://book.douban.com/subject/27087503/,[美] 伊恩·古德费洛、[加] 约书亚·本吉奥、[加] 亚伦·库维尔 / 赵申剑、黎彧君、符天凡、李凯 / 人民邮电出版社 / 2017-7-1 / 168,8.4,919
134,算法导论,https://book.douban.com/subject/1152912/,[美] Thomas H. Cormen、Charles E. Leiserson、Ronald L. Rivest、Clifford Stein / 高等教育出版社 / 2002-5 / 68.00元,9.5,915
135,编译原理,https://book.douban.com/subject/3296317/,Alfred V. Aho、Monica S.Lam、Ravi Sethi、Jeffrey D. Ullman / 赵建华、郑滔、戴新宇 / 机械工业出版社 / 2008年12月 / 89.00元,9.1,915
136,黑客,https://book.douban.com/subject/6860890/,Steven Levy / 赵俐、刁海鹏、田俊静 / 机械工业出版社华章公司 / 2011-10-31 / 69.00元,8.3,904
137,编写可读代码的艺术,https://book.douban.com/subject/10797189/,"Boswell, D.、Foucher, T. / 尹哲、郑秀雯 / 机械工业出版社 / 2012-7-10 / 59.00元",8.7,903
138,C++程序设计语言（特别版）,https://book.douban.com/subject/1099889/,[美] Bjarne Stroustrup 贝尔实验室 / 裘宗燕 / 机械工业出版社 / 2002-7 / 85.00元,8.9,895
139,图解TCP/IP（第5版）,https://book.douban.com/subject/24737674/,[日]竹下隆史、[日]村山公保、[日]荒井透、[日]苅田幸雄 / 乌尼日其其格 / 人民邮电出版社 / 2013-7-1 / 69.00元,7.8,894
140,计算机网络,https://book.douban.com/subject/1179807/,Andrew S. Tanenbaum / 潘爱民 / 清华大学出版社 / 2004-8-1 / 60.00元,8.7,893
141,梦断代码,https://book.douban.com/subject/3142280/,Scott Rosenberg / 韩磊 / 电子工业出版社 / 2008.06 / 49.00元,7.8,887
142,卓有成效的程序员,https://book.douban.com/subject/3558788/,Neal Ford / 熊节 / 机械工业出版社 / 2009-3 / 45.00元,8.1,866
143,人工智能的未来,https://book.douban.com/subject/1834728/,Jeff Hawkins / 贺俊杰、李若子、杨倩 / 陕西科学技术出版社 / 2006.1 / 18.5,8.8,862
144,Head First HTML与CSS（第2版）,https://book.douban.com/subject/25752357/,Elisabeth Robson、Eric Freeman / 徐阳、丁小峰 / 中国电力出版社 / 2013-9 / 98.00元,9.3,850
145,具体数学（英文版第2版）,https://book.douban.com/subject/1231910/,[美] Ronald L. Graham、Donald E. Knuth、Oren Patashnik / 机械工业出版社 / 2002-8 / 49.00元,9.5,835
146,计算机网络,https://book.douban.com/subject/2970300/,谢希仁 / 电子工业出版社 / 2008-1 / 35.00元,7.9,834
147,企业IT架构转型之道：阿里巴巴中台战略思想与架构实战,https://book.douban.com/subject/27039508/,钟华 / 机械工业出版社 / 2017-4-1 / 79,8.2,819
148,R语言实战,https://book.douban.com/subject/20382244/,卡巴科弗 (Robert I.Kabacoff) / 高涛、肖楠、陈钢 / 人民邮电出版社 / 2013-1 / 79.00元,8.8,815
149,大教堂与集市,https://book.douban.com/subject/25881855/,[美] Eric S. Raymond / 卫剑钒 / 机械工业出版社 / 2014-5 / 59.00元,8.4,810
150,你不知道的JavaScript（上卷）,https://book.douban.com/subject/26351021/,[美] Kyle Simpson / 赵望野、梁杰 / 人民邮电出版社 / 2015-4 / 49.00元,9.3,802
151,区块链技术驱动金融,https://book.douban.com/subject/26860970/,"阿尔文德·纳拉亚南、约什·贝努、爱德华·费尔顿、安德鲁·米勒、史蒂文·戈德费德 / 林华、王勇 / 中信出版社,中信出版集团 / 2016-8-25 / CNY 79.00",8.3,794
152,PHP和MySQL Web开发(原书第4版),https://book.douban.com/subject/3549421/,Luke Welling、Laura Thomson / 武欣 / 机械工业出版社 / 2009 / 95.00元,8.4,792
153,浪潮之巅（上册）,https://book.douban.com/subject/24739213/,吴军 / 人民邮电出版社 / 2013-5-1 / 35.00元,9.1,788
154,Maven实战,https://book.douban.com/subject/5345682/,许晓斌 / 机械工业出版社 / 2010年12月 / 65.00元,8.1,786
155,只是为了好玩,https://book.douban.com/subject/25930025/,Linus Torvalds、David Diamond / 陈少芸 / 人民邮电出版社 / 2014-7 / 49.00 元,8.2,778
156,Python源码剖析,https://book.douban.com/subject/3117898/,陈儒 / 电子工业出版社 / 2008-6 / 69.80元,8.7,773
157,深入理解Java虚拟机,https://book.douban.com/subject/6522893/,周志明 / 机械工业出版社 / 2011-6 / 69.00元,8.6,772
158,剑指Offer,https://book.douban.com/subject/6966465/,何海涛 / 电子工业出版社 / 2012-1 / 45.00元,8.3,768
159,现代操作系统（第3版）,https://book.douban.com/subject/3852290/,Andrew S. Tanenbaum / 陈向群、马洪兵 / 机械工业出版社 / 2009-7 / 75.00元,8.9,755
160,终极算法,https://book.douban.com/subject/26931905/,[美] 佩德罗·多明戈斯 / 黄芳萍 / 中信出版集团 / 2017-1-1 / 68.00元,7.1,754
161,计算机网络（第4版）,https://book.douban.com/subject/1391207/,[美] James F. Kurose、[美] Keith W. Ross / 陈鸣 / 机械工业出版社 / 2009-11 / 66.00元,8.8,752
162,区块链,https://book.douban.com/subject/22993903/,长铗、韩锋 / 中信出版社 / 2016-7 / CNY 58.00,7.2,739
163,为什么,https://book.douban.com/subject/33438811/,[美]朱迪亚·珀尔(Judea Pearl)、[美]达纳·麦肯齐(Dana Mackenzie) / 江生、于华 / 中信出版集团股份有限公司 / 2019-7-1 / 69.00元,8.8,738
164,JavaScript权威指南,https://book.douban.com/subject/2228378/,弗拉纳根 / 李强 / 机械工业出版社 / 2007-8 / 109.00元,8.9,737
165,精通CSS（第2版）,https://book.douban.com/subject/4736167/,[英] Andy Budd、[英] Simon Collison、[英] Cameron Moll / 陈剑瓯 / 人民邮电出版社 / 2010-5 / 49.00元,8.6,728
166,凤凰项目,https://book.douban.com/subject/26644070/,基恩·金 (Gene Kim)、凯文·贝尔 (Kevin Behr)、乔治·斯帕福德 (George Spafford) / 成小留 / 人民邮电出版社 / 2015-9-1 / CNY 49.00,8.7,723
167,微服务设计,https://book.douban.com/subject/26772677/,[英] Sam Newman / 崔力强、张　骏 / 人民邮电出版社 / 2016-5 / 69.00元,8.2,722
168,算法,https://book.douban.com/subject/10432347/,Robert Sedgewick、Kevin Wayne / 人民邮电出版社 / 2012-3-5 / 99.00元,9.3,714
169,Python编程快速上手,https://book.douban.com/subject/26836700/,Albert Sweigart / 王海鹏 / 人民邮电出版社/异步图书 / 2016-7-1 / 69.00元,9.0,711
170,C Primer Plus（第6版）中文版,https://book.douban.com/subject/26792521/,普拉达 (Stephen Prata) / 姜佑 / 人民邮电出版社 / 2016-4-1 / CNY 89.00,9.3,706
171,高性能MySQL,https://book.douban.com/subject/23008813/,"施瓦茨 (Baron Schwartz)、扎伊采夫 (Peter Zaitsev)、特卡琴科 (Vadim Tkachenko) / 宁海元、周振兴、彭立勋、翟卫祥,刘辉 / 电子工业出版社 / 2013-5-1 / 128.00元",9.3,695
172,JavaScript权威指南(第6版),https://book.douban.com/subject/10549733/,David Flanagan / 淘宝前端团队 / 机械工业出版社 / 2012-4-1 / 139.00元,8.8,685
173,流畅的Python,https://book.douban.com/subject/27028517/,[巴西] Luciano Ramalho / 安道、吴珂 / 人民邮电出版社 / 2017-5-15 / 139元,9.4,681
174,Effective C++,https://book.douban.com/subject/5387403/,梅耶 (Scott Meyers) / 侯捷 / 电子工业出版社 / 2011-1-1 / 65.00元,9.5,677
175,Structure and Interpretation of Computer Programs - 2nd Edition (MIT),https://book.douban.com/subject/1451622/,Harold Abelson、Gerald Jay Sussman / The MIT Press / 1996-7-25 / USD 145.56,9.6,668
176,Designing Data-Intensive Applications,https://book.douban.com/subject/26197294/,Martin Kleppmann / O'Reilly Media / 2017-4-2 / USD 44.99,9.7,663
177,黑客与画家,https://book.douban.com/subject/25724948/,[美] Paul Graham / 阮一峰 / 人民邮电出版社 / 2013-10 / 69.00元,8.9,660
178,The Elements of Statistical Learning,https://book.douban.com/subject/3294335/,Trevor Hastie、Robert Tibshirani、Jerome Friedman / Springer / 2009-10-1 / GBP 62.99,9.4,648
179,"""笨办法""学Python",https://book.douban.com/subject/26264642/,肖 (Zed A.Shaw) / 王巍巍 / 人民邮电出版社 / 2014-11-1 / CNY 49.00,7.8,647
180,未来世界的幸存者,https://book.douban.com/subject/30259509/,阮一峰 / 人民邮电出版社 / 2018-6-1 / 39.00 元,7.7,646
181,C++标准程序库,https://book.douban.com/subject/1110941/,[德] Nicolai M. Josuttis / 侯捷、孟岩 / 华中科技大学出版社 / 2002-9 / 108.00元,8.9,638
182,深入浅出统计学,https://book.douban.com/subject/7056708/,Dawn Griffiths / 李芳 / 电子工业出版社 / 2011-1-1 / 89.00元,8.5,638
183,离散数学及其应用（原书第5版）,https://book.douban.com/subject/2130743/,[美] Kenneth H. Rosen / 袁崇义 / 机械工业出版社 / 2007-6 / 79.00元,9.1,632
184,Head First Design Patterns,https://book.douban.com/subject/1400656/,Elisabeth Freeman、Eric Freeman、Bert Bates、Kathy Sierra、Elisabeth Robson / O'Reilly Media / 2004-11-1 / USD 49.99,9.1,630
185,IT不再重要,https://book.douban.com/subject/3215423/,（美）尼古拉斯·卡尔 / 闫鲜宁 / 中信出版社 / 2008-10 / 29.00元,7.5,628
186,Linux C编程一站式学习,https://book.douban.com/subject/4141733/,宋劲杉 / 电子工业出版社 / 2009-12 / 60.00元,8.9,620
187,程序员的职业素养,https://book.douban.com/subject/11614538/,Robert C.Martin / 章显洲、余晟 / 人民邮电出版社 / 2012-9-1 / 49.00元,8.7,619
188,C++Primer Plus,https://book.douban.com/subject/1319751/,Stephen Prata、孙建春、韦强 / 孙建春、韦强 / 人民邮电出版社 / 2005-5 / 72.00元,8.5,618
189,Head First Python（中文版）,https://book.douban.com/subject/10561367/,巴里（Barry.P.） / 林琪 等 / 中国电力出版社 / 2012-3-1 / 68.00元,7.9,611
190,算法之美,https://book.douban.com/subject/30155731/,[美]布莱恩·克里斯汀、[美]汤姆·格里菲思 / 万慧、胡小锐 / 中信出版集团 / 2018-5-20 / 59.00,7.5,597
191,编程人生,https://book.douban.com/subject/5355285/,Peter Seibel / 图灵俱乐部 / 人民邮电出版社 / 2011-1-1 / 79.00元,8.5,596
192,谁说大象不能跳舞(珍藏版),https://book.douban.com/subject/4178327/,郭士纳(Lou Gerstner.Jr.) / 张秀琴、音正权 / 中信出版社 / 2010-1-1 / 38.00元,8.3,588
193,别怕，Excel VBA其实很简单,https://book.douban.com/subject/19952184/,Excel之家 (Excel Home) / 人民邮电出版社 / 2012-10-1 / 49.00元,8.1,585
194,浪潮之巅（下册）,https://book.douban.com/subject/24740308/,吴军 / 人民邮电出版社 / 2013-6 / 45.00元,9.2,574
195,最后期限,https://book.douban.com/subject/1231972/,汤姆・迪马可 / 熊节 / 清华大学出版社 / 2002-12-1 / 20.00元,8.1,574
196,未来之路,https://book.douban.com/subject/1205456/,比尔・盖茨 / 辜正坤 / 北京大学出版社 / 1996-01 / 20.00,8.0,568
197,创新者,https://book.douban.com/subject/27009472/,[美] 沃尔特·艾萨克森 / 关嘉伟、牛小婧 / 中信出版社 / 2017-4 / 88.00元,8.5,568
198,C++ Primer Plus,https://book.douban.com/subject/10789789/,Stephen Prata / 张海龙、袁国忠 / 人民邮电出版社 / 2012-6-19 / 99.00元,8.6,566
199,冒号课堂,https://book.douban.com/subject/4031906/,郑晖 / 电子工业出版社 / 2009-10 / 65.00元,8.9,565
200,Python深度学习,https://book.douban.com/subject/30293801/,[美] 弗朗索瓦•肖莱 / 张亮 / 人民邮电出版社 / 2018-8 / 119.00元,9.5,561
201,大型网站系统与Java中间件开发实践,https://book.douban.com/subject/25867042/,曾宪杰 / 电子工业出版社 / 2014-4-24 / 65.00,7.9,556
202,Spring实战（第4版）,https://book.douban.com/subject/26767354/,Craig Walls 沃尔斯 / 张卫滨 / 人民邮电出版社 / 2016-4-1 / CNY 89.00,8.2,549
203,An Introduction to Statistical Learning,https://book.douban.com/subject/21706191/,Gareth James、Daniela Witten、Trevor Hastie、Robert Tibshirani / Springer / 2013-8-12 / USD 79.99,9.6,548
204,Python学习手册（第4版）,https://book.douban.com/subject/6049132/,[美] Mark Lutz / 李军、刘红伟 / 机械工业出版社 / 2011-4 / 119.00元,7.9,544
205,深入浅出MFC （第二版）,https://book.douban.com/subject/1094852/,侯俊杰 / 华中科技大学出版社 / 2001-1 / 80.00元,8.9,539
206,Thinking in Java,https://book.douban.com/subject/1474824/,Bruce Eckel / Prentice Hall / 2006-2-20 / USD 74.99,9.0,535
207,编码,https://book.douban.com/subject/20260928/,查尔斯•佩措尔德 (Charles Petzold) / 左飞、薛佟佟 / 电子工业出版社 / 2012-10-1 / 59.00元,9.3,534
