,title,link,pub,rating,comments
913,C# 7.0本质论,https://book.douban.com/subject/33474759/,[美] 马克·米凯利斯（Mark Michaelis） / 周靖 / 机械工业出版社 / 2019-5 / 199.00元,0.0,15
914,数学之美（第三版）,https://book.douban.com/subject/35033507/,吴军 / 人民邮电出版社 / 2020-4 / 69.00,0.0,15
915,信息检索导论,https://book.douban.com/subject/4236350/,人民邮电出版社 / 2010-1 / 69.00元,8.1,15
916,机器学习与优化,https://book.douban.com/subject/30239753/,[意] 罗伯托·巴蒂蒂、[意] 毛罗·布鲁纳托 / 王彧弋 / 人民邮电出版社 / 2018-5 / 89.00元,8.5,15
917,Modern Java in Action,https://book.douban.com/subject/30143116/,Raoul-Gabriel Urma、Mario Fusco、Alan Mycroft / Manning Publications / 2018-11-15 / USD 49.99,8.9,15
918,Expert Python Programming - Second Edition,https://book.douban.com/subject/26791781/,Micha Jaworski、Tarek Ziadé / Packt Publishing - ebooks Account / 2016-8-4 / USD 49.99,9.6,15
919,Python网络爬虫权威指南（第2版）,https://book.douban.com/subject/33386709/,[美] 瑞安 • 米切尔 / 神烦小宝 / 人民邮电出版社 / 2019-4 / 79.00元,7.6,15
920,"Advanced Programming in the UNIX Environment, 3rd Edition",https://book.douban.com/subject/11937511/,W. Richard Stevens、Stephen A. Rago / Addison-Wesley Professional / 2013-5-24 / USD 69.99,9.4,15
921,信息安全原理与实践（第2版）,https://book.douban.com/subject/24733262/,"【美】斯坦普(Stamp, M.) / 张戈 / 清华大学出版社 / 2013-5 / 68.00元",8.4,14
922,Python金融衍生品大数据分析：建模、模拟、校准与对冲,https://book.douban.com/subject/27084134/,【德】Yves Hilpisch（伊夫·希尔皮斯科） / 蔡立耑 / 电子工业出版社 / 2017-8 / 99.00,9.1,14
923,数据结构习题解析（第3版）,https://book.douban.com/subject/26365845/,邓俊辉 / 清华大学出版社 / 2013-9-1 / CNY 29.00,9.7,14
924,信息检索,https://book.douban.com/subject/7154449/,（美）Stefan Büttcher、（加）Charles L.A.Clarke、（加）Gordon V. Cormack / 陈健、黄晋 / 机械工业出版社 / 2012-1 / 65.00元,8.7,14
925,软件调试 第2版,https://book.douban.com/subject/30379453/,张银奎 / 人民邮电出版社 / 2018-11-1 / 118.00元,8.8,13
926,Accelerate,https://book.douban.com/subject/30192146/,Nicole Forsgren PhD、Jez Humble、Gene Kim,8.9,13
927,WebRTC权威指南,https://book.douban.com/subject/26915289/,Alan B. Johnston、Daniel C. Burnett / 声网Agora.io / 2016-8,6.9,13
928,代码精进之路 从码农到工匠,https://book.douban.com/subject/34922776/,张建飞 / 人民邮电出版社 / 2020-1-1 / 69,8.9,13
929,溯源中国计算机,https://book.douban.com/subject/26420659/,徐祖哲 / 生活·读书·新知三联书店 / 2015-6 / 88.00元,7.6,13
930,"Distributed Systems, 3rd Edition",https://book.douban.com/subject/26979326/,Maarten van Steen、Andrew S. Tanenbaum / CreateSpace Independent Publishing Platform / 2017-2-1 / USD 35.00,0.0,13
931,黑客秘笈:渗透测试实用指南(第2版),https://book.douban.com/subject/27075406/,皮特·基姆 (Peter Kim) / 孙勇 / 人民邮电出版社 / 2017-2-1 / 79.00,8.5,12
932,BPF Performance Tools,https://book.douban.com/subject/34467459/,Brendan Gregg / Addison Wesley / 2019-11-4 / USD 69.99,0.0,12
933,动手玩转Arduino,https://book.douban.com/subject/25805404/,John Boxall / 翁恺 / 人民邮电出版社 / 2014-1-1 / 59,8.1,12
934,机器阅读理解,https://book.douban.com/subject/35019334/,朱晨光 / 机械工业出版社 / 2020-4 / 79.00,10.0,12
935,The Site Reliability Workbook,https://book.douban.com/subject/30250487/,[美] Betsy Beyer、[美] Niall Murphy、[美] Dave Rensin、[美] Kent Kawahara、[美] Stephen Thorne / O′Reilly / 2018-7-31 / GBP 35.99,8.4,12
936,机器学习,https://book.douban.com/subject/27076976/,Sergios Theodoridis / 机械工业出版社 / 2017-4-1 / 269元,0.0,11
937,数值方法：设计、分析和算法实现,https://book.douban.com/subject/26863824/,[美] 安妮·戈林鲍姆、[美] 蒂莫西 P.夏蒂埃 / 吴兆金、王国英、范红军 / 机械工业出版社 / 2016-4-1 / 69.00元,0.0,11
