,title,date,url
85,路人女主的养成方法,2015-01-08,https://bangumi.tv/subject/100403
86,舰队Collection,2015-01-07,https://bangumi.tv/subject/84386
87,斩·赤红之瞳！,2014-07-06,https://bangumi.tv/subject/94244
88,东京喰种,2014-07-03,https://bangumi.tv/subject/93714
89,约会大作战 第二季,2014-04-11,https://bangumi.tv/subject/76325
90,NO GAME NO LIFE 游戏人生,2014-04-09,https://bangumi.tv/subject/79227
91,命运石之门 负荷领域的既视感,2013-04-20,https://bangumi.tv/subject/23119
92,科学的超电磁炮S,2013-04-12,https://bangumi.tv/subject/51928
93,进击的巨人,2013-04-06,https://bangumi.tv/subject/55770
94,约会大作战,2013-04-05,https://bangumi.tv/subject/49131
95,刀剑神域,2012-07-07,https://bangumi.tv/subject/23686
96,罪恶王冠,2011-10-13,https://bangumi.tv/subject/18635
97,命运石之门,2011-04-06,https://bangumi.tv/subject/10380
98,日常,2011-04-02,https://bangumi.tv/subject/9912
99,マヨヒガのお姉さん THE ANIMATION,201,https://bangumi.tv/subject/219448
100,科学的超电磁炮,2009-10-02,https://bangumi.tv/subject/2585
101,千与千寻,2001-07-20,https://bangumi.tv/subject/311
