,title,author,source,vote
61,小问题 | 我们如何判断自己要学什么？,彭小六,https://www.jianshu.com/p/b29226d31cec,1252
62,iOS分享之路-快速搭建电商平台】二十一、终篇,iOS_Java攻城狮DWQ,https://www.jianshu.com/p/a7eb6e26bd91,1241
63,Python 零基础入门资料整理（更新版）,汪汪汪不是我的语言,https://www.jianshu.com/p/9c02dade7e90,1235
64,计算机网络基础知识大总汇,龙猫小爷,https://www.jianshu.com/p/674fb7ec1e2c,1232
65,iOS中集成ijkplayer视频直播框架,jianshu_wl,https://www.jianshu.com/p/1f06b27b3ac0,1223
66,你真的会用Retrofit2吗?Retrofit2完全教程,怪盗kidou,https://www.jianshu.com/p/308f3c54abdd,1222
67,AFNetworking到底做了什么？,涂耀辉,https://www.jianshu.com/p/856f0e26279d,1216
68,如何高效学Python？,王树义,https://www.jianshu.com/p/3678e3dd29f5,1215
69,Fragment全解析系列（一）：那些年踩过的坑,YoKey,https://www.jianshu.com/p/d9143a92ad94,1190
70,2017计算机系书单推荐(排版更新),筑梦师Winston,https://www.jianshu.com/p/84db083b2f06,1189
71,前端小白到大神，不可不收藏的网站合集,简寻,https://www.jianshu.com/p/2ea073aac308,1183
72,吴军：厉害的人是这样为人处世的,人民邮电出版社,https://www.jianshu.com/p/da51f87cf5cf,1178
73,如何高效入门Github？,王树义,https://www.jianshu.com/p/13d356e76659,1143
74,"［译］我并不聪明，我只是坐在那儿的时间比你长（I'm not smart, I just sat there for longer than you）",JoyceCheng,https://www.jianshu.com/p/2cb881793673,1132
75,如何从3分钟热度到坚持360天,彭小六,https://www.jianshu.com/p/c6b967b1e333,1111
76,【源码下载】50套高大上的后台管理系统模板，总有一套适合你,web小二,https://www.jianshu.com/p/c7eddf7583f4,1092
77,读大学的你，还在迷茫吗？快看看这些视频学习网站,慕凌峰,https://www.jianshu.com/p/471678da5d9d,1092
78,Android主题换肤 无缝切换,_SOLID,https://www.jianshu.com/p/af7c0585dd5b,1091
79,Context都没弄明白，还怎么做Android开发？,尹star,https://www.jianshu.com/p/94e0f9ab3f1d,1087
80,GitHub 上排名前 100 的 Objective-C 项目简介,Aufree,https://www.jianshu.com/p/057f79e3d3d0,1077
81,大问题 | 不知道这些，你不可能学好英语,彭小六,https://www.jianshu.com/p/b19972d39afe,1068
82,[干货]如何在一天之内搭建以你自己名字为域名且具备cool属性的个人博客,wingjay,https://www.jianshu.com/p/99665608d295,1066
83,Android大厂面试题锦集(BAT TMD JD 小米),何时夕,https://www.jianshu.com/p/cf5092fa2694,1040
84,(干货）Linux学习资源推荐,非典型程序员00,https://www.jianshu.com/p/307c8d0fbf22,1038
85,"五款不为人知的黑科技软件, 估计很多人都不知道!",一个敲代码的前端妹子,https://www.jianshu.com/p/038874d11e07,1036
86,你真的会用Gson吗?Gson使用指南（一）,怪盗kidou,https://www.jianshu.com/p/e740196225a4,1036
87,如何给老婆解释什么是RPC,柳树之,https://www.jianshu.com/p/2accc2840a1b,1035
88,看完这篇Linux基本的操作就会了,Java3y,https://www.jianshu.com/p/a182a0be4b8a,1031
89,自学编程之前，你需要知道这些,技匠,https://www.jianshu.com/p/a4f85ade43ce,1029
90,推荐！设计师与程序员不能错过的 10 个酷站,IT程序狮,https://www.jianshu.com/p/f57b10bfec7c,1022
91,"微信,QQ这类IM app怎么做——谈谈Websocket",一缕殇流化隐半边冰霜,https://www.jianshu.com/p/bcefda55bce4,1019
