,title,link,views
0,分享一个“外挂”聊天室服务，给任意网站植入尬聊功能,https://hacpai.com/article/1534741351807,11300.0
1,开源经验谈,https://hacpai.com/article/1501603146956,6800.0
2,代码段发布了 v2.5,https://hacpai.com/article/1460555583612,6000.0
3,2017 成为报废程序员的前一年,https://hacpai.com/article/1514687638181,5300.0
4,教务系统微信小程序,https://hacpai.com/article/1475503594868,5100.0
5,【原创干货】微信小游戏海盗来了源码分析 (JAVA 辅助),https://hacpai.com/article/1525115554985,4500.0
6,对于我们而言，技术究竟是什么？,https://hacpai.com/article/1521119918775,4100.0
7,2018 成为报废程序员的第一年,https://hacpai.com/article/1546225387284,3100.0
8,我为什么要用中文写项目文档,https://hacpai.com/article/1566191673842,3000.0
9,华为开源平台上线,https://hacpai.com/article/1567220590114,2700.0
10,Lute 一款对中文语境优化的 Markdown 引擎，支持 Go 和 JavaScript,https://hacpai.com/article/1567047822949,2700.0
11,Thief-Book – 上班摸鱼神器 [Win/Mac/VS Code],https://hacpai.com/article/1563849126172,2700.0
12,简洁美观的 Java 博客系统 Tale 开源了，让每一个有故事的人更好的表达想法,https://hacpai.com/article/1488033951901,2600.0
13,《钢铁洪流进行曲》钢琴谱,https://hacpai.com/article/1570853954698,2600.0
14,Java 开源博客 Solo 2.7.0 发布,https://hacpai.com/article/1520345077734,2600.0
15,美国电影 -031- 小丑 - Joker -2019（资源刚出来，得自己下载，外挂字幕）,https://hacpai.com/article/1573359473822,2500.0
16,逃离北上广（薪资 / 房价）,https://hacpai.com/article/1563953586287,2300.0
17,20190215 TGIF,https://hacpai.com/article/1550192905665,2300.0
18,Go 语言 IDE - Wide 1.5.3 发布,https://hacpai.com/article/1502247172047,2300.0
19,分享一个非常漂亮的中国风网站,https://hacpai.com/article/1569116037309,2200.0
20,参与 GitHub 开源项目推荐,https://hacpai.com/article/1568338280463,2200.0
21,耳朵福利：分享一个可在线播放的无损音乐网站，无广告，得 fq,https://hacpai.com/article/1536058149643,2200.0
22,Java 开源博客 —— Solo 1.0.0 发布了！,https://hacpai.com/article/1442461563547,2200.0
23,YGOPRO-520DIY,https://hacpai.com/article/1541768258435,2100.0
24,Go 开源博客平台 Pipe 1.4.0 发布！,https://hacpai.com/article/1521599743284,2100.0
25,免费领取百度区块链“莱茨狗”,https://hacpai.com/article/1517892079003,2100.0
26,搭建 Ogame 银河帝国服务器的那些事儿 ~,https://hacpai.com/article/1497871498842,2100.0
27,链滴笔记 - 一款桌面端 Markdown 笔记应用，支持 Windows、Mac 和 Linux,https://hacpai.com/article/1582274499427,2000.0
28,B 站后端源码被公开了,https://hacpai.com/article/1555927598689,2000.0
29,Java 开源博客——B3log Solo 0.6.6 正式版发布了！,https://hacpai.com/article/1398400707269,2000.0
30,八音简谱,https://hacpai.com/article/1565622691312,1900.0
31,韩国电影 -028- 寄生虫 - Parasite -2019,https://hacpai.com/article/1565164696623,1900.0
32,Go 开源博客平台 Pipe 1.0.0 发布！,https://hacpai.com/article/1514431709556,1900.0
33,三亚 9 天 8 夜穷游,https://hacpai.com/article/1571292817039,1800.0
34,Java 开源博客 —— Solo 0.6.9 发布了！,https://hacpai.com/article/1435544295119,1800.0
35,Java 开源博客 Solo 2.4.0 发布,https://hacpai.com/article/1506050482466,1800.0
36,Java 开源博客 Solo 2.3.0 发布,https://hacpai.com/article/1504150339315,1800.0
37,Java 开源博客 Solo 2.5.0 发布,https://hacpai.com/article/1513746439653,1700.0
38,分享一个 Go 写的 BT 种子爬虫,https://hacpai.com/article/1473143502346,1600.0
39,GitHub 封锁伊朗用户私有仓库,https://hacpai.com/article/1564163536954,1600.0
40,电影国度 - 专注电影分享 20 年,https://hacpai.com/article/1525445224063,1600.0
41,Java 开源博客 Solo 2.8.0 发布,https://hacpai.com/article/1523932059345,1600.0
42,英雄联盟特效全开，需要什么电脑配置,https://hacpai.com/article/1498705778608,1600.0
43,一个微信公众号高亮代码插件,https://hacpai.com/article/1483162503205,1500.0
44,2019 用善意面对世界,https://hacpai.com/article/1577712379212,1500.0
45,用 symphony 帮媳妇搭建的小站 ~.~,https://hacpai.com/article/1494769716850,1500.0
46,20190816 TGIF,https://hacpai.com/article/1565887485622,1500.0
47,20190719 TGIF,https://hacpai.com/article/1563498267746,1500.0
48,Java 开源博客——B3log Solo 0.6.5 正式版发布了！,https://hacpai.com/article/1383269580969,1500.0
49,Java 开源博客 Solo 2.9.0 发布，支持后台文章搜索,https://hacpai.com/article/1526519602248,1500.0
50,关于抖音跟快手那个更有长远的发展？,https://hacpai.com/article/1521916112694,1500.0
51,说出你最孤独的时候,https://hacpai.com/article/1520576168252,1500.0
52,Java 开源博客 Solo 2.2.0 发布,https://hacpai.com/article/1499692251155,1500.0
53,Thief-Book 3.0 最强版本摸鱼发布， TouchBar 上看小说、炒股,https://hacpai.com/article/1566799391315,1400.0
54,Java 开源博客 Solo 2.9.4 发布，新皮肤加数据库重构,https://hacpai.com/article/1537109312363,1400.0
55,Java 社区平台 Sym 2.6.0 发布,https://hacpai.com/article/1523320655615,1400.0
56,Java Web 开源框架 Latke 2.4.1 发布，ORM 生成改进,https://hacpai.com/article/1522908946586,1400.0
57,Java 开源博客 Solo 2.6.0 发布,https://hacpai.com/article/1517468377777,1400.0
58,Go 开源博客平台 Pipe 1.2.0 发布！,https://hacpai.com/article/1516343873822,1400.0
59,大理丽江泸沽湖 9 日游,https://hacpai.com/article/1532583489064,1300.0
60,上次开源了今日热榜的 API 接口，这次直接开源热榜 GO 后端代码吧,https://hacpai.com/article/1565159387108,1300.0
61,Go 语言常用工具库，这个轱辘还算圆！,https://hacpai.com/article/1558689504145,1300.0
62,电影国度 - 蓝光电影下载站,https://hacpai.com/article/1525776055436,1300.0
63,Go 开源博客平台 Pipe 1.3.0 发布！,https://hacpai.com/article/1518154723635,1300.0
64,如何搭建 GTA 5 私服 -FiveM 的搭建,https://hacpai.com/article/1573715855525,1200.0
65,格鲁吉亚 9 天 8 夜蜜月自由行 (完结),https://hacpai.com/article/1571635492008,1200.0
66,分享一个去年用 rust 实现的 shadowsocks,https://hacpai.com/article/1483239208116,1200.0
67,分享我做的 RSS 阅读器,https://hacpai.com/article/1460599595966,1200.0
68,玩游戏很浪费时间，但为什么仍有很多人沉迷其中？,https://hacpai.com/article/1555466554717,1200.0
69,Solo v3.4.0 发布，自动同步 GitHub 仓库,https://hacpai.com/article/1553561154369,1200.0
70,Solo v3.1.0 发布，新皮肤 Pinghsu,https://hacpai.com/article/1551334344078,1200.0
71,开源博客系統 Solo 2.9.7 发布，新皮肤 Jane,https://hacpai.com/article/1544494910517,1200.0
72,YGOPRO 999DIY 服,https://hacpai.com/article/1484662605966,1200.0
73,Java 开源博客 Solo 2.9.5 发布，大量细节优化,https://hacpai.com/article/1539139945647,1200.0
74,太吾绘卷源代码全是 IF_ELSE 语句的传言是真的吗?,https://hacpai.com/article/1538064202966,1200.0
75,开源静态代码审计软件分析比对,https://hacpai.com/article/1536722559569,1200.0
76,Java 开源博客 Solo 2.9.2 发布，看板娘来了,https://hacpai.com/article/1532567800804,1200.0
77,Java 社区平台 Sym 2.7.0 发布，首页改版,https://hacpai.com/article/1525364510282,1200.0
78,基于 Spring Boot 和 Shiro 的权限管理系统，界面风格为 Material Design，求个 Star😋,https://hacpai.com/article/1521705587628,1200.0
79,Java 社区平台 Sym 2.5.0 发布,https://hacpai.com/article/1520990044918,1200.0
80,日本老电影 -019- 地狱 - Jigoku -1979,https://hacpai.com/article/1512636689838,1200.0
81,20170818 TGIF,https://hacpai.com/article/1503021289755,1200.0
82,Arya - 在线 Markdown 编辑器,https://hacpai.com/article/1558270349379,1100.0
83,土味情话，在线生成，表白利器,https://hacpai.com/article/1581913622977,1100.0
84,分享一个给自己做的健身激励神器,https://hacpai.com/article/1569739899358,1100.0
85,朋友们，玩过程序员版本的连连看吗？,https://hacpai.com/article/1569296702944,1100.0
86,分享一个给自己做的健身激励神器,https://hacpai.com/article/1569739899358,1100.0
87,朋友们，玩过程序员版本的连连看吗？,https://hacpai.com/article/1569296702944,1100.0
88,罗平油菜花、九龙瀑布两天一夜游,https://hacpai.com/article/1519394928464,1100.0
89,正能量的馈赠,https://hacpai.com/article/1555290109269,1100.0
90,Solo v3.2.0 发布，新增看板娘模型,https://hacpai.com/article/1551746941427,1100.0
91,游戏王 520DIY2018.11.11 更新,https://hacpai.com/article/1541958087630,1100.0
92,Java 开源博客——B3log Solo 0.6.1 正式版发布了！,https://hacpai.com/article/1377340974335,1100.0
93,Java 开源博客——B3log Solo 0.5.6 正式版发布了！,https://hacpai.com/article/1361251118852,1100.0
94,我想听听你们的看法,https://hacpai.com/article/1530685450714,1100.0
95,Java 开源博客 Solo 2.9.1 发布，支持 PJAX,https://hacpai.com/article/1530067238194,1100.0
96,电影国度 一个拥有收藏级别电影片源的网站,https://hacpai.com/article/1521429985495,1100.0
97,20170915 TGIF,https://hacpai.com/article/1505436538515,1100.0
98,你的气质里，藏着你走过的路 看过的书和爱过的人,https://hacpai.com/article/1499415294838,1100.0
99,Java 社区平台 Sym 2.1.0 发布,https://hacpai.com/article/1495121357038,1100.0
100,"[开车] 来不及解释, 快上车",https://hacpai.com/article/1572726127175,1000.0
101,暴躁，无比暴躁，挤地铁都分分钟想暴走,https://hacpai.com/article/1559612439004,1000.0
102,开源博客系統 Solo 2.9.6 发布，大量细节优化,https://hacpai.com/article/1542252980969,1000.0
103,Go 博客平台 Pipe 1.8.0 发布，支持摘要编辑,https://hacpai.com/article/1533785855258,1000.0
104,Java 开源博客 Solo 2.1.0 发布,https://hacpai.com/article/1495722503519,1000.0
105,【荐文贴】《GitHub 上的星星数不会替你交房租》,https://hacpai.com/article/1566140627463,999.0
106,Java 开源博客 Solo 2.9.3 发布，可指定移动端皮肤,https://hacpai.com/article/1534989198402,998.0
107,2017 游记（上）——从珍惜每个双休到无心享受周末,https://hacpai.com/article/1516457510336,996.0
108,20190906 TGIF,https://hacpai.com/article/1567699208253,979.0
109,薛之谦火到日本了！日文版《演员》好听到哭！,https://hacpai.com/article/1504102330823,972.0
110,开源博客系統 Solo v2.9.9 发布，同步 GitHub 仓库,https://hacpai.com/article/1548859274766,970.0
111,Go 开源博客平台 Pipe 1.5.0 发布！,https://hacpai.com/article/1524641193727,969.0
112,把你们的血小板搬上桌面啦 写了个血小板桌面精灵,https://hacpai.com/article/1538633854549,965.0
113,在 VS Code 中使用 Markdown 编辑，发布，搜索印象笔记,https://hacpai.com/article/1492398771384,963.0
114,Java 版必应每日桌面壁纸设置工具，支持 Windows 和 macOS,https://hacpai.com/article/1561291826364,942.0
115,Solo v3.0.0 发布，和社区深度集成,https://hacpai.com/article/1550329964759,939.0
116,“战狼 2”让很多人中毒了,https://hacpai.com/article/1501467809811,935.0
117,自己的小书片段,https://hacpai.com/article/1485098274408,929.0
118,大学写的一个 Java Web 框架,https://hacpai.com/article/1563278925086,917.0
119,求推荐电影，适合火车上两个人看的,https://hacpai.com/article/1517388818609,912.0
120,2017- 变,https://hacpai.com/article/1519402133816,911.0
121,solo 博客搭建教程流程版本,https://hacpai.com/article/1528805681542,905.0
122,Java 社区平台 Sym 2.8.0 发布，新增微博功能,https://hacpai.com/article/1527210884306,904.0
123,做了个自动刷快手抖音视频的 app，担心法律风险，我把它开源了￣□￣｜｜,https://hacpai.com/article/1577279021411,903.0
124,20190809 TGIF,https://hacpai.com/article/1565315193270,892.0
125,hello 最近有好看的电影吗？【打赏 50 积分】,https://hacpai.com/article/1566900586681,889.0
126,20170428 TGIF,https://hacpai.com/article/1493342288166,887.0
127,苹果 8 要出来了，你会买 iphone8 吗？说出为什么？,https://hacpai.com/article/1501547562674,886.0
128,20200110 TGIF,https://hacpai.com/article/1578617357642,872.0
129,20180302 TGIF,https://hacpai.com/article/1519956755542,871.0
130,20190607 TGIF,https://hacpai.com/article/1559883107012,868.0
131,我们的排名升到 123 了，非常感谢 b3log（特别是 d 大）的支持,https://hacpai.com/article/1558326657100,857.0
132,20180316 TGIF,https://hacpai.com/article/1521164209353,854.0
133,20191129 TGIF,https://hacpai.com/article/1574985085795,841.0
134,主流视频站 VIP 视频 + 去广告,https://hacpai.com/article/1518057253598,839.0
135,快来申请 b3log.org 二级域名吧！,https://hacpai.com/article/1382619953243,834.0
136,MD 编辑器 Vditor v0.1.8 发布，细节改进,https://hacpai.com/article/1550114873489,833.0
137,去日本旅行简单攻略,https://hacpai.com/article/1553077528767,831.0
138,Java 社区平台 Sym 2.2.0 发布,https://hacpai.com/article/1509516824402,823.0
139,给大家推荐几个摸鱼必备的网页小游戏,https://hacpai.com/article/1572504337004,820.0
140,开源屏幕阅读器 (NVDA) 正式进入(b3log)GitHub 了,https://hacpai.com/article/1563707650856,818.0
141,吃鸡,https://hacpai.com/article/1527339861567,812.0
142,一首老的说唱单曲,https://hacpai.com/article/1502633103049,811.0
143,你们有谁养了以太猫？,https://hacpai.com/article/1513237306595,808.0
144,啦啦啦，个人主页上线啦，开森,https://hacpai.com/article/1544021867951,807.0
145,Java 社区平台 Sym 2.3.0 发布,https://hacpai.com/article/1513141691403,794.0
146,北京 19 日工作游,https://hacpai.com/article/1576766001404,793.0
147,20191108 TGIF,https://hacpai.com/article/1573173553388,789.0
148,游戏策划：为什么我的儿子不沉迷游戏？,https://hacpai.com/article/1528685461141,783.0
149,xspreadsheet 是一款基于 javascript 开发的，简单的，易用的在线表格插件,https://hacpai.com/article/1525940224585,775.0
150,基于 Taro 与 Typescript 开发的网易云音乐小程序,https://hacpai.com/article/1565326771652,773.0
151,GitHub：开源代码也受美国出口管制,https://hacpai.com/article/1558494090258,771.0
152,自己画了一个极简的个人博客模板，支持响应式布局。,https://hacpai.com/article/1565779566674,768.0
153,Java 社区平台 Sym 3.2.0 发布，改进问答列表,https://hacpai.com/article/1533179927765,763.0
154,推荐几个优秀的开源的项目,https://hacpai.com/article/1520844470762,763.0
155,20171117 TGIF,https://hacpai.com/article/1510880963299,760.0
156,在家宅着听 amsr 吧,https://hacpai.com/article/1580119215448,752.0
157,Solo 音乐播放跳转页面不中断？,https://hacpai.com/article/1527338045161,750.0
158,Excelize - Golang 操作 Office Excel 文档类库,https://hacpai.com/article/1474181012843,748.0
159,【简单天气】不佳天气主动推送提醒,https://hacpai.com/article/1575948356213,746.0
160,20191011 TGIF,https://hacpai.com/article/1570726390667,742.0
161,国产电影“生病”了,https://hacpai.com/article/1569132618678,742.0
162,NeoWorld 见闻（一）,https://hacpai.com/article/1534666202293,742.0
163,开源私密聊天——把 VPS 变成自己的微信私服,https://hacpai.com/article/1528361762942,740.0
164,D 我要回家结婚了 ~,https://hacpai.com/article/1538130336941,737.0
165,养只爬虫当宠物（Node.js 爬虫爬取 58 同城租房信息）,https://hacpai.com/article/1492686435731,734.0
166,准备和老婆去度蜜月，求推荐地方,https://hacpai.com/article/1519634788190,715.0
167,C 语言写一个打字游戏,https://hacpai.com/article/1564907553023,712.0
168,女神翻唱，不知道歌名,https://hacpai.com/article/1507297591187,712.0
169,昨晚完善了 09 年写的半成品,https://hacpai.com/article/1463744454319,708.0
170,5 岁小朋友的简历,https://hacpai.com/article/1541640118568,705.0
171,求复仇者联盟 3 下载资源,https://hacpai.com/article/1526194645905,702.0
172,Go 开源博客平台 Pipe 1.1.0 发布！,https://hacpai.com/article/1515641797476,701.0
173,mxget——优雅的音乐下载体验,https://hacpai.com/article/1571556957171,699.0
174,怎样构建一个灵活的权限系统,https://hacpai.com/article/1474538624216,697.0
175,20180511 TGIF,https://hacpai.com/article/1526000054444,697.0
176,20191220 TGIF,https://hacpai.com/article/1576797086905,690.0
177,开源一个 Pixi.js 写的小游戏,https://hacpai.com/article/1563938484024,690.0
178,20191115 TGIF,https://hacpai.com/article/1573747472704,687.0
179,20181109 TGIF,https://hacpai.com/article/1541693206964,685.0
180,20171215 TGIF,https://hacpai.com/article/1513300269136,679.0
181,9102 个人游戏开发,https://hacpai.com/article/1576822133692,678.0
182,加班累死了。。。,https://hacpai.com/article/1511874839933,678.0
183,20200117 TGIF,https://hacpai.com/article/1579224511391,672.0
184,20171208 TGIF,https://hacpai.com/article/1512694925946,667.0
185,开源博客系統 Solo v2.9.8 发布，支持阿里云 OSS,https://hacpai.com/article/1547612387838,666.0
186,20170728 TGIF,https://hacpai.com/article/1501212571497,666.0
187,大学写的一个依赖注入框架,https://hacpai.com/article/1564069668013,665.0
188,20170811 TGIF,https://hacpai.com/article/1502414498758,665.0
189,印度电影 -011- 摔跤吧! 爸爸 -Wrestling Competition-2016,https://hacpai.com/article/1494731630219,663.0
190,自制射击类游戏分享 - BreakScope,https://hacpai.com/article/1526891057890,662.0
191,Java 开源博客系统 Solo v3.9.0 发布，生成静态站点，实现静态化博客,https://hacpai.com/article/1582258779013,659.0
192,2019 年剩下近 3/4,https://hacpai.com/article/1551886456757,655.0
