,title,url,date,intro
10,复仇者联盟4：终局之战 / Avengers: Endgame,https://movie.douban.com/subject/26100958/,2019-04-24,2019-04-24(中国大陆) / 2019-04-26(美国) / 小罗伯特·唐尼 / 克里斯·埃文斯 / 马克·鲁弗洛 / 克里斯·海姆斯沃斯 / 斯嘉丽·约翰逊 / 杰瑞米·雷纳 / 保罗·路德 / 凯伦·吉兰 / 唐·钱德尔 / 布丽·拉尔森 / 布莱德利·库珀 / 泰莎·汤普森 / 汤姆·赫兰德 / 伊丽莎白·奥尔森 / 本尼迪克特·康伯巴奇 / 蒂尔达·斯文顿 / 格温妮斯·帕特洛 / 蕾妮·罗素 / 约翰·斯拉特里 / 查德维克·博斯曼 / 安东尼·麦凯 / 塞巴斯蒂安·斯坦 / 克里斯·帕拉特 / 汤姆·希德勒斯顿 / 佐伊·索尔达娜 / 丹娜·奎里拉 / 本尼迪克特·王 / 庞·克莱门捷夫 / 戴夫·巴蒂斯塔 / 利蒂希娅·赖特 / 伊万杰琳·莉莉 / 乔恩·费儒 / 海莉·阿特维尔 / 娜塔莉·波特曼 / 玛丽莎·托梅 / 塔伊加·维迪提 / 安吉拉·贝塞特 / 迈克尔·道格拉斯 / 米歇尔·菲佛 / 威廉·赫特 / 寇碧·史莫德斯 / 肖恩·古恩 / 温斯顿·杜克 / 琳达·卡德里尼 / 马克斯米利亚诺·赫尔南德斯 / 弗兰克·格里罗 / 真田广之 / 汤姆-沃恩-劳勒 / 詹姆斯·达西 / 雅各布·巴特朗 / 范·迪塞尔 / 罗伯特·雷德福 / 乔什·布洛林 / 塞缪尔·杰克逊 / 伊薇特·尼科尔·布朗 / 卡梅伦·布鲁姆布罗 / 蒂莫西·卡尔 / 凯瑞·康顿 / 迈克尔·A·库克 / 凯莉·库恩 / 艾玛·福尔曼 / 雷纳·加拉赫 / 丹妮拉·加斯基 / 郑肯 / 小弗洛伊德·安东尼·约翰 / 斯坦·李 / 罗斯·马昆德 / 布伦特·麦吉 / 迈克尔·皮耶里诺·米勒 / 卡兰·马尔韦 / 泰瑞·诺塔里 / 吉米·雷·皮肯斯 / 迈克尔·詹姆斯·肖 / 泰·辛普金斯 / 格雷格·蒂芬 / 艾娃·罗素 / 乔·罗素 / 玛丽亚·Z·威尔逊 / 本杰明·韦弗 / 劳尔·阿尔坎塔 / 雅各布·埃文斯 / 何塞·阿尔弗雷多·费尔南德斯 / 布伦特·莫雷尔·加斯金斯 / 安东尼·B·哈里斯 / 肖恩·麦克米伦 / 罗伯特·佩恩 / 麦克斯威尔·海史密斯 / 罗伯特·廷斯利 / 费斯·洛根 / 保罗·皮尔斯伯里 / 特拉维斯·汤普森 / 亚历珊德拉‧瑞秋·拉贝 / 贾迈尔·钱伯斯 / 张闻天 / 杰克逊·艾顿 / 美国 / www.marvel.com/movies/avengers-endgame / 安东尼·罗素 / 乔·罗素 / 181分钟 / 复仇者联盟4：终局之战 / 动作 / 科幻 / 奇幻 / 冒险 / 克里斯托弗·马库斯 Christopher Markus / 斯蒂芬·麦克菲利 Stephen McFeely / 斯坦·李 Stan Lee / 杰克·科比 Jack Kirby / 吉姆·斯特林 Jim Starlin / 英语 / 日语 / 科萨语
11,阿丽塔：战斗天使 / Alita: Battle Angel,https://movie.douban.com/subject/1652592/,2019-02-05,2019-02-05(中国台湾) / 2019-02-14(美国) / 2019-02-22(中国大陆) / 罗莎·萨拉查 / 克里斯托弗·瓦尔兹 / 基恩·约翰逊 / 艾德·斯克林 / 马赫沙拉·阿里 / 詹妮弗·康纳利 / 杰基·厄尔·哈利 / 拉娜·康多 / 小豪尔赫·兰登伯格 / 艾莎·冈萨雷斯 / 卡斯帕·凡·迪恩 / 米歇尔·罗德里格兹 / 爱德华·诺顿 / 杰夫·法赫 / 山姆·麦地那 / 德里克·梅耶斯 / 艾丽·拉蒙特 / 豪尔赫·A·希门尼斯 / 马克·扎罗 / 比利·布莱尔 / 伦纳德·吴 / 特里斯坦·里格斯 / 迈克尔·洛夫·托利弗 / 金 / 达塞尔·丹妮尔 / 马克·A·怀特 / 杰·科特尼 / 美国 / www.foxmovies.com/movies/alita-battle-angel / 罗伯特·罗德里格兹 / 122分钟 / 阿丽塔：战斗天使 / 动作 / 科幻 / 冒险 / 詹姆斯·卡梅隆 James Cameron / 莱塔·卡罗格里迪斯 Laeta Kalogridis / 木城幸人 Yukito Kishiro / 英语 / 西班牙语
12,流浪地球,https://movie.douban.com/subject/26266893/,2019-02-05,2019-02-05(中国大陆) / 屈楚萧 / 吴京 / 李光洁 / 吴孟达 / 赵今麦 / 隋凯 / 屈菁菁 / 张亦驰 / 杨皓宇 / 阿尔卡基·沙罗格拉茨基 / 李虹辰 / 杨轶 / 姜志刚 / 张欢 / 雷佳音 / 宁浩 / 刘慈欣 / 郭京飞 / 王智 / 张子贤 / 路阳 / 张宁 / 张小北 / 饶晓志 / 陶珞依 / 吴晓亮 / 龚格尔 / 郭帆 / 陈叶生 / 赵一龙 / 于文龙 / 金龙 / 郭赫轩 / 王一斐 / 李卓钊 / 宿丹 / 白雪 / 高岛真一 /  马牛 / 刘晓宇 / 沈晶晶 / 詹卢卡·佐帕 / 马文·布韦 / 刘萱琳 / 傅晓明 / 陈烁 / 中国大陆 / 郭帆 / 125分钟 / 科幻 / 冒险 / 灾难 / 龚格尔 Geer Gong / 严东旭 Dongxu Yan / 郭帆 Frant Gwo / 叶俊策 Junce Ye / 杨治学 Zhixue Yang / 吴荑 Ti Wu / 叶濡畅 Ruchang Ye / 沈晶晶 Jingjing Shen / 刘慈欣 Cixin Liu / 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语
13,摄影机不要停！ / カメラを止めるな！,https://movie.douban.com/subject/30234315/,2017-11-04,2017-11-04(东京首映) / 2018-06-23(日本) / 滨津隆之 / 真鱼 / 主浜晴美 / 秋山柚稀 / 长屋和彰 / 细井学 / 市原洋 / 山崎俊太郎 / 大泽真一郎 / 竹原芳子 / 吉田美纪 / 合田纯奈 / 浅森咲希奈 / 山口友和 / 藤村拓矢 / 岩合智史 / 高桥恭子 / 生见司织 / 日本 / kametome.net / 上田慎一郎 / 96分钟 / 摄影机不要停！ / 喜剧 / 恐怖 / 上田慎一郎 Shin'ichirô Ueda / 日语
14,我不是药神,https://movie.douban.com/subject/26752088/,2018-06-30,2018-06-30(大规模点映) / 2018-07-05(中国大陆) / 徐峥 / 王传君 / 周一围 / 谭卓 / 章宇 / 杨新鸣 / 王佳佳 / 王砚辉 / 贾晨飞 / 龚蓓苾 / 宁浩 / 李乃文 / 岳小军 / 苇青 / 富冠铭 / 巴拉特·巴蒂 / 喜利图 / 张海艳 / 朱耕佑 / 张子贤 / 邓飞 / 任洛敏 / 杜子蓝 / 刘兴雷 / 甘昀宸 / 石强 / 刘頔 / 马千壹 / 何李宁 / 陈翃 / 宁晓志 / 杜家毅 / 中国大陆 / 文牧野 / 117分钟 / 剧情 / 喜剧 / 韩家女 Jianü Han / 钟伟 Wei Zhong / 文牧野 Muye Wen / 汉语普通话 / 英语 / 上海话 / 印地语
15,叫我第一名 / Front of the Class,https://movie.douban.com/subject/4798888/,2008-12-07,2008-12-07(美国) / 詹姆斯·沃克 / 特里特·威廉斯 / 多米尼克·斯科特·凯伊 / 莎拉·德鲁 / 凯瑟琳·约克 / 乔·克里斯特 / 帕翠西亚·希顿 / 约翰尼·帕卡 / Charlie Finn / 尼古拉斯·斯塔格尔 / Katherine Shepler / Derek Wayne Johnson / Lori Beth Denberg / 美国 / 彼得·维纳 / 95分钟 / 叫我第一名 / 剧情 / 传记 / 托马斯·瑞克曼 Thomas Rickman / 英语
16,血战钢锯岭 / Hacksaw Ridge,https://movie.douban.com/subject/26325320/,2016-09-04,2016-09-04(威尼斯电影节) / 2016-11-04(美国) / 2016-12-08(中国大陆) / 安德鲁·加菲尔德 / 萨姆·沃辛顿 / 文斯·沃恩 / 雨果·维文 / 卢克·布雷西 / 泰莉莎·帕尔墨 / 瑞切尔·格里菲斯 / 纳撒尼尔·布佐尼克 / 理查德·劳斯伯格 / 马特·纳夫莱 / 费拉斯·迪拉尼 / 瑞安·柯尔 / 卢克·佩格勒 / 米洛·吉布森 / 托马斯·昂格 / 詹姆斯·麦凯 / 亚当·鲍斯 / 罗伯特·摩根 / 麦克·西斯比 / 赫尔穆特·巴凯蒂斯 / 本·奥图尔 / 戈兰·D·克鲁特 / 哈利·格林伍德 / 美国 / 澳大利亚 / www.hacksawridge.movie/ / 梅尔·吉布森 / 139分钟(中国大陆) / 140分钟(美国) / 血战钢锯岭 / 剧情 / 传记 / 历史 / 战争 / 安德鲁·奈特 Andrew Knight / 罗伯特·申坎 Robert Schenkkan / 英语
17,电锯惊魂 / Saw,https://movie.douban.com/subject/1417598/,2004-01-19,2004-01-19(圣丹斯电影节) / 2004-10-29(美国) / 雷·沃纳尔 / 加利·艾尔维斯 / 丹尼·格洛弗 / 肯·梁 / 迪娜·迈耶 / 迈克·巴特斯 / 保罗·古德勒支 / 迈克尔·爱默生 / 本尼托·马丁内斯 / 肖妮·史密斯 / 麦肯兹·韦加 / 莫妮卡·波特 / 耐德·巴拉米 / 亚丽姗卓·全 / 托宾·贝尔 / 汉斯·雷斯 / 奥伦·科尔斯 / 美国 / 温子仁 / 103分钟 / 电锯惊魂 / 悬疑 / 惊悚 / 恐怖 / 詹姆斯·温 James Wan / 雷·沃纳尔 Leigh Whannell / 英语
18,神偷奶爸 / Despicable Me,https://movie.douban.com/subject/3287562/,2010-06-20,2010-06-20(莫斯科电影节) / 2010-07-09(美国) / 史蒂夫·卡瑞尔 / 杰森·席格尔 / 拉塞尔·布兰德 / 朱莉·安德鲁斯 / 威尔·阿奈特 / 克里斯汀·韦格 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 艾尔西·费舍尔 / 皮埃尔·柯芬 / 克里斯·雷纳德 / 杰梅奈·克莱门特 / 杰克·麦克布瑞尔 / 丹尼·麦克布莱德 / 敏迪·卡灵 / 罗布·许贝尔 / 肯·道里欧 / 郑肯 / 凯蒂·丽 / 查尔斯·布赖特 / 斯科特·门维尔 / 詹姆斯·凯森·李 / 霍利·多夫 / 芦田爱菜 / 欧阳娣娣 / 美国 / 法国 / www.despicableme.com / 皮埃尔·柯芬 / 克里斯·雷纳德 / 95分钟 / 神偷奶爸 / 喜剧 / 动画 / 冒险 / 肯·达里奥 Ken Daurio / 塞尔吉奥·帕布洛 Sergio Pablos / 辛科·保罗 Cinco Paul / 英语
19,禁闭岛 / Shutter Island,https://movie.douban.com/subject/2334904/,2010-02-13,2010-02-13(柏林电影节) / 2010-02-19(美国) / 莱昂纳多·迪卡普里奥 / 马克·鲁弗洛 / 本·金斯利 / 马克斯·冯·叙多夫 / 米歇尔·威廉姆斯 / 艾米莉·莫迪默 / 派翠西娅·克拉克森 / 杰基·厄尔·哈利 / 泰德·拉文 / 约翰·卡洛·林奇 / 伊莱亚斯·科泰斯 / 罗宾·巴特利特 / 克里斯托弗·邓汉 / 约瑟夫·斯科拉 / 斯蒂夫·维亭 / 露比·杰琳斯 / 约瑟夫·莱迪 / 雷蒙德·安东尼·托马斯 / 马修·考尔斯 / 迈克尔·拜伦 / 肯·奇斯曼 / 科迪·哈特 / 亚历克斯·米尔恩 / 罗布·W·格雷 / 亚美利哥·普雷休蒂 / 拉尔斯·格哈德 / 丹尼·卡尼 / 贝茨·怀尔德 / 丹尼斯·林奇 / 吉尔·拉森 / 埃里克·罗林斯 / 美国 / 马丁·斯科塞斯 / 138 分钟 / 禁闭岛 / 剧情 / 悬疑 / 惊悚 / Laeta Kalogridis / Dennis Lehane / 英语 / 德语
