id,forks,repo_name,repo_url,stars,task,watchers
80,709,koalaman/shellcheck,https://github.com/koalaman/shellcheck,14042,shellcheck,14042
81,1558,aria2/aria2,https://github.com/aria2/aria2,13912,aria2,13912
82,797,stedolan/jq,https://github.com/stedolan/jq,13888,jq,13888
83,1800,statsd/statsd,https://github.com/statsd/statsd,13836,stat,13836
84,1911,mysqljs/mysql,https://github.com/mysqljs/mysql,13740,mysql,13740
85,2979,sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,13698,sqlmap,13698
86,2339,eslint/eslint,https://github.com/eslint/eslint,13636,eslint,13636
87,1705,sebastianbergmann/phpunit,https://github.com/sebastianbergmann/phpunit,13447,phpunit,13447
88,2034,kubernetes/minikube,https://github.com/kubernetes/minikube,13347,minikube,13347
89,1048,ncw/rclone,https://github.com/ncw/rclone,13343,rclone,13343
90,1201,labstack/echo,https://github.com/labstack/echo,13242,echo,13242
91,896,tmux/tmux,https://github.com/tmux/tmux,13230,tmux,13230
92,9842,odoo/odoo,https://github.com/odoo/odoo,13108,od,13108
93,885,nicolargo/glances,https://github.com/nicolargo/glances,13105,glances,13105
94,988,crystal-lang/crystal,https://github.com/crystal-lang/crystal,12852,crystal,12852
95,232,sharkdp/bat,https://github.com/sharkdp/bat,12836,bat,12836
96,1576,jeromeetienne/AR.js,https://github.com/jeromeetienne/AR.js,12761,ar,12761
97,2824,curl/curl,https://github.com/curl/curl,12548,curl,12548
98,1082,fish-shell/fish-shell,https://github.com/fish-shell/fish-shell,12526,fish,12526
99,2952,pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching,12295,git-branch,12295
100,1830,hashicorp/vault,https://github.com/hashicorp/vault,12053,vault,12053
101,893,foreverjs/forever,https://github.com/foreverjs/forever,11986,forever,11986
102,1551,gruntjs/grunt,https://github.com/gruntjs/grunt,11920,grunt,11920
103,974,google/guetzli,https://github.com/google/guetzli,11813,guetzli,11813
104,957,golang/dep,https://github.com/golang/dep,11777,dep,11777
105,1927,sass/sass,https://github.com/sass/sass,11757,sass,11757
106,4416,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,11664,java,11664
107,853,svg/svgo,https://github.com/svg/svgo,11452,svgo,11452
108,1026,rbenv/rbenv,https://github.com/rbenv/rbenv,11435,rbenv,11435
109,3299,hankcs/HanLP,https://github.com/hankcs/HanLP,11408,lp,11408
110,2667,scala/scala,https://github.com/scala/scala,11386,scala,11386
111,685,tsenart/vegeta,https://github.com/tsenart/vegeta,10982,vegeta,10982
112,1712,Microsoft/dotnet,https://github.com/Microsoft/dotnet,10750,dotnet,10750
113,3504,helm/helm,https://github.com/helm/helm,10748,helm,10748
114,455,zyedidia/micro,https://github.com/zyedidia/micro,10648,micro,10648
115,665,BrowserSync/browser-sync,https://github.com/BrowserSync/browser-sync,10577,browser-sync,10577
